URL;ID;Titulo;Data Reclamação;Local do reclamante;reclamacao_completa;Status;Consideracao_Final;Problema;Produto;Categoria;Nota;Voltaria fazer Negocio
https://www.reclameaqui.com.br/rappi/ao-utilizar-cupom-comprado_jGK8cre5hfceOHSr/;129876465;[Editado pelo Reclame Aqui] ao utilizar cupom comprado;19/09/2021 às 21:30;Belo Horizonte - MG;"Comprei um cupom Rappi no valor de R$ 150 através de um de seus parceiros.

Na plataforma Rappi, utilizei o cupom em uma compra no valor de R$ 33 e quando fui utilizar novamente em uma segunda compra, apresentou a mensagem que não poderia utilizar o cupom novamente.

Abri chamado no serviço de ajuda Rappi (chamado Ticket id: #6145426e79e4f6ebe6e0833f). Me deram a simples resposta: Por se tratar de um cupom e não de créditos, este pode ser usado apenas uma vez, pois não se compensa o valor que sobra após a compra. Diferentemente dos créditos que funcionam como moeda digital e podem ser usados enquanto houver em sua carteira no app.

Em nenhum local consta informação que será perdido o crédito não utilizado na primeira compra. Não consta nenhuma informação no momento de adquirir o cupom no site do parceiro, muito menos na plataforma Rappi ao utilizar o cupom.

Aguardo devolução do valor de R$ 117 que ficou em aberto.";Em réplica;Sem considerações finais;Estorno do valor pago;Problemas Gerais;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/debitou-29-90-duas-vezes-do-meu-cartao-de-credito_wNOcNHt_kiQcrBZp/;129876285;Debitou 29,90 duas vezes do meu cartao de credito;19/09/2021 às 21:22;Campinas - SP;Boa noite, apareceu dois valores de 29,90 no meu cartão de crédito e não comprei nada. Uma no dia 18/09/2021 as 9h08 e outra,no dia 19/09/2021 as 9h32. Peço por gentileza fazer o estorno o mais rápido possível. Obrigada.;Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/pedido-alterado-cobranca-indevida_faP26bjW5fWqcsPz/;129876261;Pedido alterado - Cobranca indevida;19/09/2021 às 21:21;Osasco - SP;"No dia 19.09.21 efetuei uma compra no App Rappi. Inicialmente o pedido continha 5 itens com valor aproximado de R$ 80 reais. Ao meio do pedido recebi mensagem deles avisando que alterou a quantidade dos itens. O mesmo item foi alterado a quantidade para 5 unidade..outros para 4...outros para 2.... Com isso foi cobrado do meu cartão R$ 351.90 e a nota entrege das mercadorias foi de R$ 90.25. Porém nem todos itens na NF foram entregues. Os itens realmente entregues somam R$ 70.01. Com isso foi cobrado a mais de meu cartão R$ 267.99 (desconsiderando o frete).

Quero estorno do vou cobrado indevido.

Não quero crédito no app..quero meu dinheiro de volta.";Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/cobranca-indevida-de-29-90-no-cartao-de-credito_VoGDt4wMAqgg1nOU/;129876131;Cobranca Indevida de 29,90 no cartao de credito;19/09/2021 às 21:17;Fortaleza - CE;O app RAPPI realizou a cobrança no meu cartão de credito de R$ 29,90 com descrição do pagamento Rappi*Rappi Brasil Int. Não solicitei nada, não contrarei nada do rappi no ultimo mes. 3 meses atrás realizei compras, o cartao ficou cadastrado, mas desde então não realizei nenhuma transação no app.;Respondida;Sem considerações finais;Cobrança indevida;Problemas Gerais;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/alterar-senha-rappi-bank_TiQx4DceX-Dj0btT/;129875909;Alterar Senha Rappi Bank;20/09/2021 às 10:53;São Paulo - SP;"Estou a semanas com um dinheiro totalmente travado na Rappi Conta. Preciso realizar uma transferência para outra Rappi Conta, porém não lembro a minha senha.

Ao tentar alterar seguindo o processo de auto serviço oferecido pelo app, não funciona.

Já estou a semanas tentando contato com o suporte da Rappi, as respostas nunca resolvem o meu problema. Me pedem 5 dias úteis e nunca mais recebo uma resposta.

O serviço de suporte da rappi conta tem sido horrível, pior serviço que já tive em toda a minha vida.

Esse dinheiro parado na minha conta por conta do serviço horrível oferecido pelas rappi está me prejudicando e muito.

Essa é a minha última tentativa de resolver o meu problema de forma amigável, pois essa situação é vergonhosa. Um processo tão simples e o cliente não pode realizar, pois o aplicativo da rappi, no rappi bank é totalmente inútil.

Me pergunto como tiveram coragem de lançar este produto sem nem ao menos ter coisas básicas. Isso não ajuda o cliente, só cria mais dor de cabeça pra alguém que se dispõem a utilizar.";Não respondida;Sem considerações finais;Login-Senha;Problemas Gerais;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/suporte-demorado-bloqueio-pq-tempo_NIbZp2z0Cq7Li_4t/;129875875;Suporte demorado, bloqueio pq tempo;19/09/2021 às 21:06;Ribeirão Preto - SP;"Reclamação é que o atendimento do suporte é horrível.
Caiu uma corrida 5min antes de fechar o mercado, e eu estava longe e tinha avisado o suporte, além do suporte nao prestar pra nada a agora essa palhaçada por tempo pq quanto da distância do estabelecimento. A rappi podia punir também o suporte ja que nao responde e quando responde demora século para solucionar o problema e já que colocaram isso tempo por conta da distância o mínimo é pra rappi enviá a corrida pra quem está perto. O que parece que o aplicativo não tem controle de nada que é muito óbvio, não tem controle quantidade de coisa que a bag suporte e como a loja fechada e o mínimo ter um suporte descente e além de não ter nada isso o app gosta de ferrar com entregador.
Queria saber qual é a punição por suporte não dar suporte ou responder Depois de horas??? Será que tem ??";Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/eles-nao-leem-as-reclamacoes-a-resposta-e-pronta_0_y7PWDazWO4Jo1B/;129875649;Eles nao leem as reclamacoes, a resposta e pronta;19/09/2021 às 20:58;Aracaju - SE;Acabei de receber em casa o entregador do Burger King que trouxe meu almoço. Abri uma reclamação hoje para falar da qualidade do produto, mas como o app está sempre dando erro, o único jeito que achei foi fazendo uma reclamação que não tinha recebido o pedido. Recebi a resposta pronta que eles sempre mandam e um creditl de 2 Reais. Se eles tivessem lido as mensagens que mandei, juntamente com as fotos, veriam que o problema não foi com o entregador. Inclusive ele foi tão legal que dei gorjeta. Agora eu tive que dar a ele 40 reais e ele ficou com com a re [Editado pelo Reclame Aqui] ção ruim por causa desse erro. Quero estorno do dinheiro que paguei a ele.;Resolvido;Muito bem atendida e solução rápida. Fiquei muito satisfeita.;NC;Outro Tipo de produto/Serviço;Aplicativos;10;Sim
https://www.reclameaqui.com.br/rappi/cadastro-na-plataforma-sem-autorizacao_YKTojWbsfUphqDu4/;129875611;Cadastro na plataforma sem autorizacao;19/09/2021 às 20:57;São Paulo - SP;"A Rappi cadastrou meu restaurante sem autorização!!!

Tive uma reclamação de um cliente e achei que ele estava confundindo a Pizzaria, pois não tenho cadastro na Rappi.

Aí baixei o app para olhar e descobri que cadastraram minha pizzaria sem a minha autorização e pior ainda muitas coisas erradas (itens, valores e taxas) RIDICULO

Quero saber como conseguem fazer isso, sendo que para uma empresa conseguir se cadastrar existe a burocracia de enviar documentos???

Fora que ficam ""queimando o filme"" da empresa, com esse cadastro todo errado e os clientes ligando para confirmar se entrega pela Rappi mesmo.

Aguardo explicações da Rappi... se é que existe alguma";Respondida;Sem considerações finais;NC;Outro Tipo de produto/Serviço;Aplicativos;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/fui-bloqueado-injustamente_yNtWsDRy9y0Q4JsU/;129875445;Fui bloqueado injustamente;19/09/2021 às 20:50;Brasília - DF;Entao ontem dia 18/09 ligai minha conta fiz compras o dia todo desligae pra comer algo ligai novamente depois de um tempo desligae fui pra casa , hoje dia 19/09 fui para a w3 ligar novamente pra fazer entregas novamente e minha conta estava bloqueada injustamente estava escrito que minha conta foi desabilitada pois tive uma atitude grave que desrespeitada as politicas da rappi , sendo que tava funcionando e fazendo as entregas certinho para não ter problema .;Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/a-ordem-deve-pertencer-ao-storepecker_Awxxf7eHvVqKYbji/;129875341;A ordem deve pertencer ao storepecker;19/09/2021 às 20:46;Rio de Janeiro - RJ;Fiz a entrega e o pedido sumiu da minha tela e eu não recebi nada! Peço por favor que me atendam da maneira devida para resolvermos esse problema!;Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/fui-bloqueado-injustamente_ddxsxhDSOzNGuPSO/;129875321;Fui bloqueado injustamente;19/09/2021 às 20:45;Brasília - DF;Olá fui bloqueado a quase 2 anos e tento entrar em contato com a rappi para resolver mas não resolvem nada já falei em presencial falei com shopper e nunca resolve queria receber uma mensagem com a explicação do pq fui bloqueado pq já mandei fotos que comprove que não estava errado e mesmo assim a rappi não responde e-mail nem nada poderia me ajudar nunca tive nenhum problema com o app mas dessa vez tá difícil resolver pois foi setembro de 2019 e até hj mando msg falo com eles e msm assim não resolve meu problema, poderia me desbloquear pq tbm dependo disso e sem emprego tá difícil de conseguir sustentar.;Respondida;Sem considerações finais;NC;NC;NC;Não avaliado;Não avaliado
https://www.reclameaqui.com.br/rappi/pedido-veio-errado_P_k59GaxBLaF55n2/;129875209;Pedido veio errado;19/09/2021 às 20:39;São Paulo - SP;"Pedido veio errado, abri reclamação no suporte deles e eles fecharam como ""resolvido"".";Resolvido;"Eu mesmo fui no estabelecimento e resolvi. Rappi foi muito lento, tanto na ponta cliente (comigo) quanto na ponta estabelecimento (Baccio di Latti).
Ainda, muito desalinhamento entre o Bacio di Latti e a Rappi: Bacio di Latti se eximia do erro pedindo para que eu jogasse a reclamação para a Rappi, sendo que o erro, pela minha conclusão, foi da Baccio. Como isso acontece se foi a Baccio di Latti que optou por trabalhar com a Rappi?
Ainda... Funcionária da Baccio indicou que eles tiram foto e que controlam tudo o que vai dentro dos pacotes. Pedi para que ela me mostrasse que os picolés vieram dentro do pacote. Ela não conseguiu acesso... Quando abri o pacote, os picolés não estavam lá e o pacote estava inviolado. Logo... erro da Baccio. Será a próxima para quem vou abrir a reclamação.";NC;NC;NC;5;Não
